"BathingwaterStationId";"Name";"Latitude";"Longitude";"Location";"Responsible";"Type";"WaterType";"WaterArea";"WaterAreaNumber";"Started";"Closed";"BlueFlag";"ProfileUrl";"Main"
"90bd8f04-53f3-433f-aa53-02d0d815c600";"Boderne";"55,02179779121727";"14,910692407602843";"";"Bornholms Regionskommune";"Badevandsstation";"Marin";"Bornholm 12 sm";"DK_Coast58";"01.01.1971 00.00.00";"";"False";"https://b0301proddatasto.blob.core.windows.net/files/njqugoya.pdf";""
"6d1f0e91-5c78-4323-96fc-19ed1c0f5fb2";"Syd for Havvej";"55,148356742534226";"14,70360373248659";"";"Bornholms Regionskommune";"Badevandsstation";"Marin";"Mangler";"Mangler";"01.01.1972 00.00.00";"01.01.1999 00.00.00";"False";"";""
"aa5af9ea-452b-4162-a4f6-19d50525fc5f";"Lystskoven";"55,1741506539629";"14,704671601813754";"";"Bornholms Regionskommune";"Badevandsstation";"Marin";"Bornholm 12 sm";"DK_Coast58";"01.01.1971 00.00.00";"";"False";"https://b0301proddatasto.blob.core.windows.net/files/owey3y2e.pdf";""
"e5ee27f3-2235-4e50-b1b0-19d63a78dabf";"Levka";"55,15932377458711";"14,704309088444528";"";"Bornholms Regionskommune";"Badevandsstation";"Marin";"Bornholm 12 sm";"DK_Coast58";"01.01.1971 00.00.00";"";"False";"https://b0301proddatasto.blob.core.windows.net/files/gzcmy3yj.pdf";""
"404fdd7b-0104-4c6e-b9b2-1849d188d821";"Strandsti Midt";"55,256957171276404";"14,823635053219169";"";"Bornholms Regionskommune";"Kontrolstation";"Marin";"Mangler";"Mangler";"01.01.1991 00.00.00";"31.12.2002 00.00.00";"False";"";""
"fbb7e444-2dc6-4f75-963b-1e35cd1ea1a4";"Næs";"55,272934975314485";"14,806711865000256";"";"Bornholms Regionskommune";"Badevandsstation";"Marin";"Bornholm 12 sm";"DK_Coast58";"01.01.1971 00.00.00";"";"False";"https://b0301proddatasto.blob.core.windows.net/files/udsuvqhq.pdf";""
"6635e004-3d45-4f15-8b0d-161f66cb41d3";"Grisby 530";"55,11429805608505";"15,145960769629633";"";"Bornholms Regionskommune";"Kontrolstation";"Marin";"Mangler";"Mangler";"01.01.1990 00.00.00";"01.01.1998 00.00.00";"False";"";""
"8936f65e-22c1-4021-9104-10a4af508553";"Hullehavn";"55,130832207449444";"15,153381752069985";"";"Bornholms Regionskommune";"Badevandsstation";"Marin";"Bornholm 12 sm";"DK_Coast58";"01.01.1971 00.00.00";"";"False";"https://b0301proddatasto.blob.core.windows.net/files/q5cokdr5.pdf";""
"08d052b0-8f1d-4126-823e-394d472f1423";"Hasle Havnebad";"55,18786102870367";"14,702546155830856";"";"Bornholms Regionskommune";"Badevandsstation";"Marin";"Østersøen 1sm. Bornholm";"DK_Coast56";"01.07.2009 00.00.00";"";"False";"https://b0301proddatasto.blob.core.windows.net/files/gglcocc0.pdf";""
"875ef9ea-d1ab-4959-a640-229ee0ca1ab5";"Lersøvej";"55,07947934569153";"14,72321895531343";"";"Bornholms Regionskommune";"Badevandsstation";"Marin";"Mangler";"Mangler";"01.01.1994 00.00.00";"01.01.1999 00.00.00";"False";"";""
"480e94f2-fd60-4751-b8e6-31ea087b0785";"Melsted";"55,20138138624956";"14,983510562730777";"";"Bornholms Regionskommune";"Badevandsstation";"Marin";"Bornholm 12 sm";"DK_Coast58";"01.01.1971 00.00.00";"";"False";"https://b0301proddatasto.blob.core.windows.net/files/ewufhj3m.pdf";""
"dc8adcfe-85fd-49ef-8c88-2df492044500";"Hammerhavn";"55,278320961077085";"14,75567969163325";"";"Bornholms Regionskommune";"Badevandsstation";"Marin";"Mangler";"Mangler";"01.01.1972 00.00.00";"01.01.1999 00.00.00";"False";"";""
"be654ba8-5cad-4535-9e8c-2b8706909c07";"Stammershalle Badebro";"55,23965311027819";"14,867496854800674";"";"Bornholms Regionskommune";"Badevandsstation";"Marin";"Bornholm, 12sm";"DK_Coast58";"01.05.2018 00.00.00";"19.03.2020 00.00.00";"False";"";""
"cbbbf29d-4df1-4645-ab2b-c197599e9dec";"Store Sandkås";"55,26028294643478";"14,817155718900151";"";"Bornholms Regionskommune";"Badevandsstation";"Marin";"Mangler";"Mangler";"01.01.1971 00.00.00";"01.01.1998 00.00.00";"False";"";""
